,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type
1,"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is [[entertaining]] and competently [[handled]] but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is [[clever]] but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing [[special]].<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I [[found]] really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.","Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is [[amusing]] and competently [[handle]] but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is [[skillful]] but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing [[peculiar]].<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I [[detected]] really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.",0.0036647319793701,0.3843814730644226,0,0,0,38,Successful
2,"its a [[totally]] average film with a few semi-alright action [[sequences]] that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer [[guessing]] and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not [[really]] worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality","its a [[absolutely]] average film with a few semi-alright action [[sequence]] that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer [[guess]] and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not [[truthfully]] worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality",0.0037667155265808,0.4220380783081054,0,0,0,31,Successful
11,"Blind Date (Columbia Pictures, 1934), was a [[decent]] film, but I have a few issues with this film. First of all, I don't fault the actors in this film at all, but more or less, I have a [[problem]] with the script. [[Also]], I understand that this film was made in the 1930's and people were looking to escape reality, but the script made Ann Sothern's character look [[weak]]. She kept going back and forth between suitors and I felt as though she should have stayed with Paul Kelly's character in the end. He truly did care about her and her family and would have done anything for her and he did by giving her up in the end to fickle Neil Hamilton who in my opinion was only out for a good time. Paul Kelly's character, although a workaholic was a man of integrity and truly [[loved]] Kitty (Ann Sothern) as opposed to Neil Hamilton, while he did like her a lot, I didn't see the depth of love that he had for her character. The production values were great, but the script could have used a little work.","Blind Date (Columbia Pictures, 1934), was a [[dignified]] film, but I have a few issues with this film. First of all, I don't fault the actors in this film at all, but more or less, I have a [[difficulties]] with the script. [[Moreover]], I understand that this film was made in the 1930's and people were looking to escape reality, but the script made Ann Sothern's character look [[vulnerable]]. She kept going back and forth between suitors and I felt as though she should have stayed with Paul Kelly's character in the end. He truly did care about her and her family and would have done anything for her and he did by giving her up in the end to fickle Neil Hamilton who in my opinion was only out for a good time. Paul Kelly's character, although a workaholic was a man of integrity and truly [[worshiped]] Kitty (Ann Sothern) as opposed to Neil Hamilton, while he did like her a lot, I didn't see the depth of love that he had for her character. The production values were great, but the script could have used a little work.",0.0087028741836547,0.4994121789932251,0,0,0,23,Successful
15,"[[Now]], I [[LOVE]] Italian horror [[films]]. The cheesier they are, the better. However, this is not cheesy Italian. This is week-old [[spaghetti]] sauce with [[rotting]] [[meatballs]]. It is [[amateur]] [[hour]] on every [[level]]. There is no suspense, no [[horror]], with just a few drops of blood scattered around to remind you that you are in fact watching a horror film. The ""special [[effects]]"" consist of the lights changing to red whenever the [[ghost]] (or whatever it was supposed to be) is around, and a string pulling bed sheets up and down. Oooh, can you feel the chills? The DVD quality is that of a VHS [[transfer]] (which actually helps the film more than [[hurts]] it). The dubbing is below even the lowest ""bad Italian [[movie]]"" [[standards]] and I gave it one star just because the dialogue is so hilarious! And what do we discover when she finally DOES look in the attic (in a scene that is [[daytime]] one minute and night the next)...well, I won't [[spoil]] it for anyone who really wants to see, but let's just [[say]] that it isn't very ""novel""!","[[Currently]], I [[ADORED]] Italian horror [[filmmaking]]. The cheesier they are, the better. However, this is not cheesy Italian. This is week-old [[sandwiches]] sauce with [[dripping]] [[dumplings]]. It is [[dilettante]] [[hora]] on every [[levels]]. There is no suspense, no [[terror]], with just a few drops of blood scattered around to remind you that you are in fact watching a horror film. The ""special [[influences]]"" consist of the lights changing to red whenever the [[phantom]] (or whatever it was supposed to be) is around, and a string pulling bed sheets up and down. Oooh, can you feel the chills? The DVD quality is that of a VHS [[transfers]] (which actually helps the film more than [[aches]] it). The dubbing is below even the lowest ""bad Italian [[flick]]"" [[norms]] and I gave it one star just because the dialogue is so hilarious! And what do we discover when she finally DOES look in the attic (in a scene that is [[daylight]] one minute and night the next)...well, I won't [[wrack]] it for anyone who really wants to see, but let's just [[says]] that it isn't very ""novel""!",0.0003083944320678,0.4916678667068481,0,0,0,93,Successful
16,"This [[cheap]], grainy-filmed [[Italian]] [[flick]] is about a couple of inheritors of a manor in the Italian countryside who head up to the house to stay, and then find themselves getting killed off by [[ghosts]] of people killed in that house.<br /><br />I wasn't impressed by this. It wasn't really that [[scary]], mostly just the [[way]] a [[cheap]] Italian [[film]] should be. A girl, her two cousins, and one cousin's girlfriend, head to this huge house for some reason (I couldn't figure out why) and are staying there, cleaning up and checking out the place. [[Characters]] come in and out of the film, and it's quite boring at [[points]], and the majority of [[deaths]] are [[quite]] [[rushed]]. The girlfriend is hit by a car when fleeing the house after having a dream of her death, and the scene is [[quite]] good, but then things get slow again, until a confusing end, when the male cousins are killed together in some weird way, and this weirdo guy (I couldn't figure out who he was during the movie, or maybe I just don't remember) goes after this one girl, attacking her, until finally this other girl kills him off. Hate to give away the ending, but oh well. The female cousin decides to stay at the house and watch over it, and they show scenes of her living there years later. The end. You really aren't missing anything, and anyway, you probably won't find this anywhere, so lucky you.","This [[inexpensive]], grainy-filmed [[Ltalian]] [[film]] is about a couple of inheritors of a manor in the Italian countryside who head up to the house to stay, and then find themselves getting killed off by [[phantoms]] of people killed in that house.<br /><br />I wasn't impressed by this. It wasn't really that [[horrible]], mostly just the [[path]] a [[inexpensive]] Italian [[filmmaking]] should be. A girl, her two cousins, and one cousin's girlfriend, head to this huge house for some reason (I couldn't figure out why) and are staying there, cleaning up and checking out the place. [[Nature]] come in and out of the film, and it's quite boring at [[dots]], and the majority of [[mortality]] are [[rather]] [[precipitated]]. The girlfriend is hit by a car when fleeing the house after having a dream of her death, and the scene is [[very]] good, but then things get slow again, until a confusing end, when the male cousins are killed together in some weird way, and this weirdo guy (I couldn't figure out who he was during the movie, or maybe I just don't remember) goes after this one girl, attacking her, until finally this other girl kills him off. Hate to give away the ending, but oh well. The female cousin decides to stay at the house and watch over it, and they show scenes of her living there years later. The end. You really aren't missing anything, and anyway, you probably won't find this anywhere, so lucky you.",0.0002300143241882,0.445493996143341,0,0,0,88,Successful
19,"[[Every]] movie I have PPV'd because Leonard Maltin [[praised]] it to the skies has blown [[chunks]]! [[Every]] single one! When will I ever learn?<br /><br />Evie is a raving Old Bag who thinks nothing of saying she's [[dying]] of breast [[cancer]] to get her way! Laura is an insufferable Medusa filled with The Holy [[Spirit]] (and her hubby's protégé)! [[Caught]] between these harpies is Medusa's dumb-as-a-rock boy who has been pressed into weed-pulling servitude by The Old [[Bag]]!<br /><br />As I said, when will I ever learn?<br /><br />I was temporarily [[lifted]] out of my malaise when The Old Bag stuck her head in a sink, but, [[unfortunately]], she did not [[die]]. I was temporarily lifted out of my malaise again when Medusa got mowed down, but, unfortunately, she did not die. It should be a capital [[offense]] to torture [[audiences]] like this!<br /><br />Without Harry Potter to kick him around, Rupert Grint is just a pair of big blue eyes that practically bulge out of its sockets. [[Julie]] Walters's scenery-chewing (especially the scene when she ""plays"" God) is even more shameless than her [[character]].<br /><br />At [[least]] this Harold bangs some bimbo instead of Maude. [[For]] that, I am truly [[grateful]]. And if you're reading this [[Mr]]. Maltin, you owe me $3.99!","[[Each]] movie I have PPV'd because Leonard Maltin [[hails]] it to the skies has blown [[fragments]]! [[Any]] single one! When will I ever learn?<br /><br />Evie is a raving Old Bag who thinks nothing of saying she's [[death]] of breast [[tumor]] to get her way! Laura is an insufferable Medusa filled with The Holy [[Wits]] (and her hubby's protégé)! [[Capture]] between these harpies is Medusa's dumb-as-a-rock boy who has been pressed into weed-pulling servitude by The Old [[Pouch]]!<br /><br />As I said, when will I ever learn?<br /><br />I was temporarily [[lifting]] out of my malaise when The Old Bag stuck her head in a sink, but, [[unhappily]], she did not [[died]]. I was temporarily lifted out of my malaise again when Medusa got mowed down, but, unfortunately, she did not die. It should be a capital [[offences]] to torture [[spectators]] like this!<br /><br />Without Harry Potter to kick him around, Rupert Grint is just a pair of big blue eyes that practically bulge out of its sockets. [[Jolie]] Walters's scenery-chewing (especially the scene when she ""plays"" God) is even more shameless than her [[trait]].<br /><br />At [[fewest]] this Harold bangs some bimbo instead of Maude. [[In]] that, I am truly [[glad]]. And if you're reading this [[Monsieur]]. Maltin, you owe me $3.99!",0.0005027055740356,0.3226063847541809,0,0,0,181,Successful
21,"Dr Stephens (Micheal Harvey) runs a mental asylum. He has a different approach to the insane. He conducts unorthodox methods of treatment. He treats everyone like family, there are no locks on the patients doors and he lets some of the inmates act out their twisted fantasies. He lets Sergeant Jaffee (Hugh Feagin) dress and act as a soldier and Harriet (Camilla Carr) be a mother to a doll, including letting her put it to bed in a cot. Dr. Stevens is outside letting Judge Oliver W. Cameron (Gene Ross) chop a log up with an axe, it turns out to be a bad move as once Dr. Stevens back is turned the Judge plants the axe in his shoulder. Soon after Nurse Charlotte Beale (Rosie Holotik) arrives at the Sanitarium having arranged an interview with Dr. Stevens about a possible job. She is met by the head Nurse, Geraldine Masters (Annabelle Weenick as Anne McAdams) and is offered a trail position. She gets to know and becomes well liked among the patients. However things eventually start to turn sour, the phone lines are cut, an old lady named Mrs. Callingham (Rhea MacAdams) has her tongue cut out and she starts to get a strange feeling that things just aren't right somehow. Then, one night all the Sanitariums dark secrets are [[violently]] revealed. Produced and directed by S.f. Brownrigg this film has a [[great]] central [[idea]] which builds into a cool twist ending, but ultimately is a bit of a chore to sit through because of it's low budget restrictions and a rather slow script by Tim Pope. There are just too many long [[boring]] stretches of dialogue by the inmates, not a lot really happens until the final twenty odd minutes. The film has no real visual quality as it's set entirely in the Sanitarium and it's grounds which is basically just a big bland house in the middle of nowhere. There's no graphic gore in it, a few splashes of blood here and there and thats yer lot. There's a bit of nudity, but like the gore not much. The acting is pretty strong, especially Holotik and Weenick. The [[photography]] is flat and unexciting and I can't even remember what the music was like. The twist ending is great, but it just takes far too long to get to it. A film that had a lot of potential that was probably held back by it's budget. OK I guess, but I think it would have worked a lot better if the story had been turned into a half an hour 'Tales form the Crypt' episode.","Dr Stephens (Micheal Harvey) runs a mental asylum. He has a different approach to the insane. He conducts unorthodox methods of treatment. He treats everyone like family, there are no locks on the patients doors and he lets some of the inmates act out their twisted fantasies. He lets Sergeant Jaffee (Hugh Feagin) dress and act as a soldier and Harriet (Camilla Carr) be a mother to a doll, including letting her put it to bed in a cot. Dr. Stevens is outside letting Judge Oliver W. Cameron (Gene Ross) chop a log up with an axe, it turns out to be a bad move as once Dr. Stevens back is turned the Judge plants the axe in his shoulder. Soon after Nurse Charlotte Beale (Rosie Holotik) arrives at the Sanitarium having arranged an interview with Dr. Stevens about a possible job. She is met by the head Nurse, Geraldine Masters (Annabelle Weenick as Anne McAdams) and is offered a trail position. She gets to know and becomes well liked among the patients. However things eventually start to turn sour, the phone lines are cut, an old lady named Mrs. Callingham (Rhea MacAdams) has her tongue cut out and she starts to get a strange feeling that things just aren't right somehow. Then, one night all the Sanitariums dark secrets are [[forcefully]] revealed. Produced and directed by S.f. Brownrigg this film has a [[wondrous]] central [[brainchild]] which builds into a cool twist ending, but ultimately is a bit of a chore to sit through because of it's low budget restrictions and a rather slow script by Tim Pope. There are just too many long [[dull]] stretches of dialogue by the inmates, not a lot really happens until the final twenty odd minutes. The film has no real visual quality as it's set entirely in the Sanitarium and it's grounds which is basically just a big bland house in the middle of nowhere. There's no graphic gore in it, a few splashes of blood here and there and thats yer lot. There's a bit of nudity, but like the gore not much. The acting is pretty strong, especially Holotik and Weenick. The [[pictured]] is flat and unexciting and I can't even remember what the music was like. The twist ending is great, but it just takes far too long to get to it. A film that had a lot of potential that was probably held back by it's budget. OK I guess, but I think it would have worked a lot better if the story had been turned into a half an hour 'Tales form the Crypt' episode.",0.0002474188804626,0.3713525533676147,0,0,0,52,Successful
22,"The Forgotten (AKA: Don't Look In The Basement) is a very cheaply made and very [[old]] [[looking]] horror [[movie]].<br /><br />The [[story]] is very [[slow]] and never really reaches anything worth getting excited about.<br /><br />The patients at the asylum are [[embarrassingly]] funny especially Sam and the old woman who always quotes an old saying to everyone. (Look out for the bit when she gets close to the camera, tell me you can watch without laughing!).<br /><br />Now the [[gore]] is very [[poor]] looking, with the blood looking pink in many scenes so it doesn't really [[deserve]] its place on the video nasties list!.<br /><br />[[Overall]] if you aren't looking for a [[fantastic]] horror [[film]] and have some time to spare then it's worth a watch.","The Forgotten (AKA: Don't Look In The Basement) is a very cheaply made and very [[antique]] [[researching]] horror [[cinema]].<br /><br />The [[history]] is very [[slows]] and never really reaches anything worth getting excited about.<br /><br />The patients at the asylum are [[painfully]] funny especially Sam and the old woman who always quotes an old saying to everyone. (Look out for the bit when she gets close to the camera, tell me you can watch without laughing!).<br /><br />Now the [[gora]] is very [[poorest]] looking, with the blood looking pink in many scenes so it doesn't really [[merited]] its place on the video nasties list!.<br /><br />[[Comprehensive]] if you aren't looking for a [[wondrous]] horror [[cinematographic]] and have some time to spare then it's worth a watch.",0.0002558827400207,0.4117986559867859,0,0,0,104,Successful
24,"too [[bad]] this [[movie]] isn't. [[While]] ""[[Nemesis]] Game"" is [[mildly]] [[entertaining]], I [[found]] it hard to suspend my disbelief the whole [[length]] of the [[movie]], especially the situations that Sara was putting herself into. Are we supposed to believe that:<br /><br />1) this hot [[chick]] is going to go slumming unarmed around abandoned buildings and dark subway tunnels in the middle of the night just to [[solve]] some riddles?<br /><br />2) the [[protagonists]] are supposedly such experts that they play [[riddle]] [[games]] for fun, but don't put the whole ""I Never Sinned"" riddle together until the very end...and then...and then...[[get]] this...she has to do the [[whole]] [[mirror]] thing to [[finally]] put the pieces together?? I know it was the filmmaker's [[device]] to show the [[audience]] what was going on, but do they really think we're that [[stupid]]?<br /><br />3) when Vern and Sara go to the Chez M to question the blonde, there is not ONE topless chick in the whole building. Nada. C'mon. I know it's Canada, but I would expect more from a country that gave us Shannon Tweed.<br /><br />And anyone else notice that when Vern was surfing the Web and found that riddlezone site, that when he moused over the link the cursor stayed an arrow, and didn't turn into a little hand (LIKE ALL CURSORS DO WHEN YOU CLICK ON A HYPERLINK)?!? I mean, if you're gonna have the internet play such a prominent role in your [[movie]], at least get the little things right. Geez.","too [[negative]] this [[cinema]] isn't. [[Although]] ""[[Foe]] Game"" is [[smoothly]] [[fun]], I [[uncovered]] it hard to suspend my disbelief the whole [[lifespan]] of the [[cinematography]], especially the situations that Sara was putting herself into. Are we supposed to believe that:<br /><br />1) this hot [[girl]] is going to go slumming unarmed around abandoned buildings and dark subway tunnels in the middle of the night just to [[resolve]] some riddles?<br /><br />2) the [[players]] are supposedly such experts that they play [[enigma]] [[game]] for fun, but don't put the whole ""I Never Sinned"" riddle together until the very end...and then...and then...[[obtain]] this...she has to do the [[overall]] [[mirrors]] thing to [[lastly]] put the pieces together?? I know it was the filmmaker's [[apparatus]] to show the [[spectators]] what was going on, but do they really think we're that [[foolish]]?<br /><br />3) when Vern and Sara go to the Chez M to question the blonde, there is not ONE topless chick in the whole building. Nada. C'mon. I know it's Canada, but I would expect more from a country that gave us Shannon Tweed.<br /><br />And anyone else notice that when Vern was surfing the Web and found that riddlezone site, that when he moused over the link the cursor stayed an arrow, and didn't turn into a little hand (LIKE ALL CURSORS DO WHEN YOU CLICK ON A HYPERLINK)?!? I mean, if you're gonna have the internet play such a prominent role in your [[cinematography]], at least get the little things right. Geez.",0.0003349781036376,0.3753196001052856,0,0,0,164,Successful
25,"I of course saw the previews for this at the beginning of some other Lion's Gate extravaganza, so of course it was only the best parts and therefore looked intriguing. And it is, to a point. A young college student (Sarah)is finding riddles all over the place and is becoming obsessed with answering them, and in doing so she's unwittingly becoming involved in some game. Now that's [[fairly]] [[intriguing]] right there but [[unfortunately]] it all gets [[rather]] muddled and becomes so complicated that the viewer (like myself) will most likely become frustrated. Characters appear with little introduction and you're not really sure who they are or why Sarah knows them or is hanging out with them. All of this has something to do with this woman who tried to drown a young boy years ago and her reason for that was that it's ""all part of the [[design]]"". In [[reality]], it's all part of the ""very [[sketchy]] [[script]]"" and when the film is over you'll find yourself feeling that you've lost about an hour and a half of your life that you want back for more productive uses of your time, like cleaning the bathroom, for instance. 4 out of 10.","I of course saw the previews for this at the beginning of some other Lion's Gate extravaganza, so of course it was only the best parts and therefore looked intriguing. And it is, to a point. A young college student (Sarah)is finding riddles all over the place and is becoming obsessed with answering them, and in doing so she's unwittingly becoming involved in some game. Now that's [[comparatively]] [[mesmerizing]] right there but [[sadly]] it all gets [[somewhat]] muddled and becomes so complicated that the viewer (like myself) will most likely become frustrated. Characters appear with little introduction and you're not really sure who they are or why Sarah knows them or is hanging out with them. All of this has something to do with this woman who tried to drown a young boy years ago and her reason for that was that it's ""all part of the [[conceive]]"". In [[realism]], it's all part of the ""very [[incomplete]] [[hyphen]]"" and when the film is over you'll find yourself feeling that you've lost about an hour and a half of your life that you want back for more productive uses of your time, like cleaning the bathroom, for instance. 4 out of 10.",0.0001769661903381,0.3123357892036438,0,0,0,29,Successful
